"year","county_name","county","deaths","pop_at_risk","rate","space.time"
1968,"Adams",1,6,17952,0.000334224598930481,1
1968,"Allen",2,32,111028,0.000288215585257773,2
1968,"Ashland",3,15,43504,0.000344795880838544,3
1968,"Ashtabula",4,27,95077,0.000283980352766705,4
1968,"Athens",5,12,54180,0.000221483942414175,5
1968,"Auglaize",6,7,37893,0.00018473068904547,6
1968,"Belmont",7,25,77856,0.000321105630908344,7
1968,"Brown",8,10,25300,0.000395256916996047,8
1968,"Butler",9,49,222616,0.000220109965141769,9
1968,"Carroll",10,3,20961,0.0001431229426077,10
1968,"Champaign",11,8,29910,0.000267469073888332,11
1968,"Clark",12,42,153501,0.000273613852678484,12
1968,"Clermont",13,23,91596,0.000251102668238788,13
1968,"Clinton",14,4,31214,0.000128147626065227,14
1968,"Columbiana",15,45,106723,0.000421652314871209,15
1968,"Coshocton",16,7,32900,0.000212765957446809,16
1968,"Crawford",17,14,48650,0.000287769784172662,17
1968,"Cuyahoga",18,633,1744859,0.000362780029790373,18
1968,"Darke",19,10,47749,0.000209428469706172,19
1968,"Defiance",20,4,36756,0.000108825769942322,20
1968,"Delaware",21,11,41964,0.000262129444285578,21
1968,"Erie",22,22,74091,0.000296932151003496,22
1968,"Fairfield",23,20,70676,0.000282981493010357,23
1968,"Fayette",24,6,24888,0.000241080038572806,24
1968,"Franklin",25,246,813246,0.000302491497037797,25
1968,"Fulton",26,5,31976,0.000156367275456592,26
1968,"Gallia",27,3,24102,0.000124470998257406,27
1968,"Geauga",28,7,62514,0.000111974917618453,28
1968,"Greene",29,21,122930,0.000170828927031644,29
1968,"Guernsey",30,11,35664,0.000308434275459847,30
1968,"Hamilton",31,376,933253,0.000402891820331679,31
1968,"Hancock",32,17,60162,0.0002825703932715,32
1968,"Hardin",33,7,30794,0.000227317009807105,33
1968,"Harrison",34,6,16778,0.000357611157468113,34
1968,"Henry",35,5,26557,0.000188274277968144,35
1968,"Highland",36,9,28007,0.000321348234369979,36
1968,"Hocking",37,11,19712,0.000558035714285714,37
1968,"Holmes",38,3,21974,0.000136524984072085,38
1968,"Huron",39,11,48486,0.000226869611846719,39
1968,"Jackson",40,15,27442,0.000546607390131915,40
1968,"Jefferson",41,35,95132,0.000367909851574654,41
1968,"Knox",42,12,41702,0.000287755982926478,42
1968,"Lake",43,50,196022,0.000255073410127435,43
1968,"Lawrence",44,22,54932,0.000400495157649458,44
1968,"Licking",45,29,105189,0.000275694226582627,45
1968,"Logan",46,17,34195,0.000497148705951162,46
1968,"Lorain",47,66,254095,0.000259745370825872,47
1968,"Lucas",48,175,480010,0.000364575738005458,48
1968,"Madison",49,7,27669,0.00025299071162673,49
1968,"Mahoning",50,108,302985,0.00035645328976682,50
1968,"Marion",51,26,62708,0.000414620144160235,51
1968,"Medina",52,15,80291,0.000186820440647146,52
1968,"Meigs",53,11,19652,0.000559739466720944,53
1968,"Mercer",54,3,35530,8.44356881508584e-05,54
1968,"Miami",55,18,82795,0.000217404432634821,55
1968,"Monroe",56,4,15799,0.000253180581049433,56
1968,"Montgomery",57,172,616195,0.000279132417497708,57
1968,"Morgan",58,1,11380,8.78734622144113e-05,58
1968,"Morrow",59,4,19616,0.000203915171288744,59
1968,"Muskingum",60,28,76690,0.000365106272004173,60
1968,"Noble",61,4,10547,0.000379254764387978,61
1968,"Ottawa",62,10,36414,0.000274619651782282,62
1968,"Paulding",63,6,18765,0.000319744204636291,63
1968,"Perry",64,10,26807,0.000373036893348752,64
1968,"Pickaway",65,12,38371,0.000312736180970003,65
1968,"Pike",66,4,19284,0.000207425845260319,66
1968,"Portage",67,14,122135,0.000114627256724117,67
1968,"Preble",68,5,33389,0.000149749917637545,68
1968,"Putnam",69,5,30472,0.000164085061695983,69
1968,"Richland",70,36,131020,0.000274767211112807,70
1968,"Ross",71,18,61689,0.000291786217964305,71
1968,"Sandusky",72,16,61061,0.000262033048918295,72
1968,"Scioto",73,30,76218,0.000393607809178934,73
1968,"Seneca",74,17,60815,0.00027953629861054,74
1968,"Shelby",75,10,37966,0.000263393562661329,75
1968,"Stark",76,114,369341,0.000308657852770204,76
1968,"Summit",77,176,558916,0.000314895261541985,77
1968,"Trumbull",78,56,229248,0.00024427694025684,78
1968,"Tuscarawas",79,28,75772,0.000369529641556248,79
1968,"Union",80,8,22114,0.000361761779867957,80
1968,"Van Wert",81,7,29417,0.00023795764353945,81
1968,"Vinton",82,4,9471,0.00042234188575652,82
1968,"Warren",83,19,84068,0.000226007517723747,83
1968,"Washington",84,8,56029,0.000142783201556337,84
1968,"Wayne",85,16,85563,0.000186996715870178,85
1968,"Williams",86,5,33512,0.00014920028646455,86
1968,"Wood",87,12,86389,0.000138906573753603,87
1968,"Wyandot",88,5,21038,0.000237665177298222,88
1969,"Adams",1,5,18472,0.00027067994802945,89
1969,"Allen",2,33,110973,0.00029736963045065,90
1969,"Ashland",3,19,43382,0.000437969664837951,91
1969,"Ashtabula",4,24,96738,0.000248092786702227,92
1969,"Athens",5,9,55036,0.000163529326259176,93
1969,"Auglaize",6,10,38211,0.000261704744707022,94
1969,"Belmont",7,32,79435,0.000402845093472651,95
1969,"Brown",8,6,26010,0.000230680507497116,96
1969,"Butler",9,69,224522,0.000307319549977285,97
1969,"Carroll",10,9,21340,0.00042174320524836,98
1969,"Champaign",11,8,30190,0.000264988406757204,99
1969,"Clark",12,45,155326,0.00028971324826494,100
1969,"Clermont",13,29,93532,0.000310054312962409,101
1969,"Clinton",14,7,31381,0.00022306491188936,102
1969,"Columbiana",15,31,107602,0.000288098734224271,103
1969,"Coshocton",16,19,33278,0.000570947773303684,104
1969,"Crawford",17,19,49611,0.000382979581141279,105
1969,"Cuyahoga",18,586,1730679,0.000338595429886189,106
1969,"Darke",19,7,48463,0.000144440088314797,107
1969,"Defiance",20,6,36914,0.000162539957739611,108
1969,"Delaware",21,9,42455,0.000211989164998233,109
1969,"Erie",22,21,75050,0.00027981345769487,110
1969,"Fairfield",23,29,72102,0.000402207983135003,111
1969,"Fayette",24,3,25214,0.000118981518204172,112
1969,"Franklin",25,252,824708,0.000305562696130024,113
1969,"Fulton",26,7,32528,0.000215199212985735,114
1969,"Gallia",27,10,24746,0.000404105714054797,115
1969,"Geauga",28,13,62645,0.000207518556947881,116
1969,"Greene",29,30,123987,0.000241960850734351,117
1969,"Guernsey",30,15,36741,0.000408263248142402,118
1969,"Hamilton",31,358,928899,0.000385402503393803,119
1969,"Hancock",32,19,60742,0.000312798393204043,120
1969,"Hardin",33,11,30806,0.000357073297409596,121
1969,"Harrison",34,6,16866,0.000355745286374956,122
1969,"Henry",35,5,26778,0.000186720442154007,123
1969,"Highland",36,11,28582,0.000384857602687006,124
1969,"Hocking",37,12,20051,0.00059847389157648,125
1969,"Holmes",38,0,22526,0,126
1969,"Huron",39,11,49098,0.000224041712493381,127
1969,"Jackson",40,13,27270,0.000476714338100477,128
1969,"Jefferson",41,42,95580,0.000439422473320778,129
1969,"Knox",42,12,41732,0.000287549122975175,130
1969,"Lake",43,37,196237,0.000188547521619267,131
1969,"Lawrence",44,21,55961,0.000375261342720823,132
1969,"Licking",45,29,106588,0.00027207565579615,133
1969,"Logan",46,17,34713,0.000489730072307205,134
1969,"Lorain",47,82,255382,0.000321087625596166,135
1969,"Lucas",48,200,482047,0.000414897302545187,136
1969,"Madison",49,8,27991,0.000285806151977421,137
1969,"Mahoning",50,107,303589,0.000352450187589142,138
1969,"Marion",51,17,63804,0.00026644097548743,139
1969,"Medina",52,19,81405,0.000233400896750814,140
1969,"Meigs",53,8,19749,0.000405083801711479,141
1969,"Mercer",54,10,35511,0.000281602883613528,142
1969,"Miami",55,14,83533,0.000167598434151772,143
1969,"Monroe",56,5,15748,0.00031750063500127,144
1969,"Montgomery",57,178,611768,0.000290959971753998,145
1969,"Morgan",58,2,11983,0.000166903112743053,146
1969,"Morrow",59,3,20573,0.000145822194137948,147
1969,"Muskingum",60,22,77318,0.000284539175871078,148
1969,"Noble",61,2,10464,0.000191131498470948,149
1969,"Ottawa",62,10,36827,0.000271539902788715,150
1969,"Paulding",63,5,19004,0.000263102504735845,151
1969,"Perry",64,6,27106,0.000221353205932266,152
1969,"Pickaway",65,7,39330,0.000177981184846173,153
1969,"Pike",66,8,19169,0.000417340497678543,154
1969,"Portage",67,24,124095,0.000193400217575245,155
1969,"Preble",68,7,33972,0.000206052042858825,156
1969,"Putnam",69,2,30811,6.49118821200221e-05,157
1969,"Richland",70,36,130286,0.000276315183519334,158
1969,"Ross",71,17,61326,0.000277207057365555,159
1969,"Sandusky",72,20,61042,0.000327643262016317,160
1969,"Scioto",73,31,76584,0.000404784289146558,161
1969,"Seneca",74,16,60666,0.000263739161968813,162
1969,"Shelby",75,7,37854,0.000184921012310456,163
1969,"Stark",76,116,370699,0.000312922344004165,164
1969,"Summit",77,171,555650,0.000307747682893908,165
1969,"Trumbull",78,73,230886,0.000316173349618426,166
1969,"Tuscarawas",79,31,76508,0.000405186385737439,167
1969,"Union",80,8,22949,0.000348599067497494,168
1969,"Van Wert",81,5,29260,0.000170881749829118,169
1969,"Vinton",82,2,9469,0.000211215545464146,170
1969,"Warren",83,22,84664,0.00025985070395918,171
1969,"Washington",84,12,56608,0.000211984171848502,172
1969,"Wayne",85,12,86372,0.000138933913768351,173
1969,"Williams",86,5,33551,0.000149026854639206,174
1969,"Wood",87,15,88155,0.000170154840905224,175
1969,"Wyandot",88,6,21456,0.000279642058165548,176
1970,"Adams",1,9,19047,0.000472515356749094,177
1970,"Allen",2,39,110858,0.000351801403597395,178
1970,"Ashland",3,12,43100,0.000278422273781903,179
1970,"Ashtabula",4,25,98297,0.000254331261381324,180
1970,"Athens",5,12,55773,0.000215157872088645,181
1970,"Auglaize",6,8,38534,0.000207608864898531,182
1970,"Belmont",7,43,80883,0.000531632110579479,183
1970,"Brown",8,7,26744,0.0002617409512414,184
1970,"Butler",9,63,226090,0.000278650095094874,185
1970,"Carroll",10,6,21561,0.000278280228189787,186
1970,"Champaign",11,9,30537,0.000294724432655467,187
1970,"Clark",12,52,157125,0.000330946698488465,188
1970,"Clermont",13,27,95378,0.000283084149384554,189
1970,"Clinton",14,12,31380,0.000382409177820268,190
1970,"Columbiana",15,28,108289,0.000258567352177968,191
1970,"Coshocton",16,10,33378,0.000299598537959135,192
1970,"Crawford",17,27,50433,0.000535363749925644,193
1970,"Cuyahoga",18,666,1715252,0.000388281138864727,194
1970,"Darke",19,16,49122,0.000325719636822605,195
1970,"Defiance",20,12,36919,0.000325035889379452,196
1970,"Delaware",21,10,42871,0.000233257913274708,197
1970,"Erie",22,18,75950,0.000236998025016458,198
1970,"Fairfield",23,26,73424,0.000354107648725212,199
